TXN_ID,SENDER_ACCOUNT_NUMBER,RECEIVER_ACCOUNT_NUMBER,AMOUNT,CONDITIONS,TIMESTAMP
TXN_a03d2e843aa7459275cc8da41d0e91f986594ff2cac8fd36ab6a097f34ff000b,17_OYT,4_JEY,2000,45_IQA__HAS__2000____AND____119_MPP__HAS__2000____AND____108_XPV__HAS__2000____AND____10_BWT__HAS__2000,2022-12-21 22:42:26.668222
TXN_3d9c33375d28143ed9718eb35a8c0d7bca6f11ee82be5eae5401d27e0e2e19d8,104_GYD,125_HKM,2000,22_RIQ__HAS__2000____AND____25_AWW__HAS__2000____AND____106_TOB__HAS__2000____AND____96_FCG__HAS__2000,2022-12-21 22:42:26.668471
TXN_dba44770d46a76da38ba98af51485d608bc99d1dba5e1eb5883fcfc72de8b41e,139_LHM,14_KSP,2000,79_TKL__HAS__2000____AND____40_UMC__HAS__2000____AND____75_GNH__HAS__2000____AND____81_ORK__HAS__2000,2022-12-21 22:42:26.668712
TXN_f965747b4ed216e1700b7c27fde131e93fab93aee4c3dce4e3577a652501ea03,40_UMC,34_VJF,2000,64_SHK__HAS__2000____AND____76_RPI__HAS__2000____AND____120_JFF__HAS__2000____AND____115_CXV__HAS__2000,2022-12-21 22:42:26.668951
TXN_612dc7b3bce08b69e42310e5c67907c97f8b8268a917ffc83788d1a8263ef0a0,34_VJF,144_KQW,2000,20_EHM__HAS__2000____AND____70_TTY__HAS__2000____AND____109_KKZ__HAS__2000____AND____137_UHO__HAS__2000,2022-12-21 22:42:26.669192
TXN_76241f097f7350b8cd861dc3aeb8fd4e154c2719857fc5c96ff4cf29c5401a62,12_LHC,138_OPP,2000,115_CXV__HAS__2000____AND____78_GOV__HAS__2000____AND____62_WAB__HAS__2000____AND____8_MGQ__HAS__2000,2022-12-21 22:42:26.669498
TXN_2590ce1945234f5b3c6a3e223d3e0120e5fc9300f9e1d12aeda375c4f3b966c3,21_QAZ,139_LHM,2000,39_BQI__HAS__2000____AND____148_UZJ__HAS__2000____AND____105_QML__HAS__2000____AND____29_AII__HAS__2000,2022-12-21 22:42:26.669736
TXN_a2765c78fb847ab990a7919575917c1e2a35273b3dfaf63397b009ee630543eb,70_TTY,30_WIY,2000,89_FYG__HAS__2000____AND____32_DCL__HAS__2000____AND____107_NUM__HAS__2000____AND____25_AWW__HAS__2000,2022-12-21 22:42:26.669974
TXN_fc8fda4c00628fd8106b33bfa5d5735f04211cc0237075bab6f6c80657dc3a06,33_HXN,142_FNA,2000,8_MGQ__HAS__2000____AND____21_QAZ__HAS__2000____AND____97_RAJ__HAS__2000____AND____48_PRN__HAS__2000,2022-12-21 22:42:26.670210
TXN_2cf770a0649676b47d63bbae4019088a70346b2606fad6376907d271f46edabe,104_GYD,60_NKP,2000,59_JYF__HAS__2000____AND____123_LOV__HAS__2000____AND____11_GZG__HAS__2000____AND____118_HJG__HAS__2000,2022-12-21 22:42:26.670450
TXN_d35b3187f428a1027a0aa2e7de36b77f0b4bcad7e7d6a36b236a2a0bef274458,127_ONO,29_AII,2000,134_GIC__HAS__2000____AND____117_GQK__HAS__2000____AND____123_LOV__HAS__2000____AND____124_BRL__HAS__2000,2022-12-21 22:42:26.670688
TXN_44eb4cb4c50a05ab7818878781532460b18ae4dbf1ef24e1662f1e7b16ce1417,32_DCL,139_LHM,2000,109_KKZ__HAS__2000____AND____46_TKE__HAS__2000____AND____72_BTC__HAS__2000____AND____55_DSF__HAS__2000,2022-12-21 22:42:26.670926
TXN_84d3bc317d77329f0da5c6b1c925f02bb57828f61326a7b5f24a732665b0c9ac,78_GOV,10_BWT,2000,123_LOV__HAS__2000____AND____58_QIB__HAS__2000____AND____91_ZRS__HAS__2000____AND____51_SSP__HAS__2000,2022-12-21 22:42:26.671161
TXN_157b9a5d9fe82bcab38d8ab0f033eb2cb153848c1c05c24e238b5357e124fc0d,9_RHA,1_HGK,2000,104_GYD__HAS__2000____AND____60_NKP__HAS__2000____AND____37_LTW__HAS__2000____AND____74_ZBF__HAS__2000,2022-12-21 22:42:26.671397
TXN_2b179b042d00e2f2bb3969edacfbfe3d3d34071fe8270ba5c89c9fe667c61fc2,29_AII,147_YUH,2000,129_GDC__HAS__2000____AND____33_HXN__HAS__2000____AND____116_RGT__HAS__2000____AND____108_XPV__HAS__2000,2022-12-21 22:42:26.671633
TXN_01546e48dc91094114b288306dbed301fd9f321011b7822b658a821c0dccaa1d,94_FWT,101_SWG,2000,138_OPP__HAS__2000____AND____133_YMO__HAS__2000____AND____56_NJA__HAS__2000____AND____82_LCS__HAS__2000,2022-12-21 22:42:26.671870
TXN_13008eccb8b15c9bb52b91a3bc2e852ddd61f22858155f042c23f017120b67c5,49_WBG,100_SNZ,2000,142_FNA__HAS__2000____AND____118_HJG__HAS__2000____AND____16_IMW__HAS__2000____AND____58_QIB__HAS__2000,2022-12-21 22:42:26.672112
TXN_d6a3d9df84c280fbda5c2cc2bccaa62e65341e01c36f9a839c840bc4e02d6348,94_FWT,54_QIT,2000,135_WPM__HAS__2000____AND____16_IMW__HAS__2000____AND____38_AYK__HAS__2000____AND____75_GNH__HAS__2000,2022-12-21 22:42:26.672359
TXN_12da34632d66dfb4be28ed3c759c774d4f01812cd2ae8883f37372b22e4654fc,115_CXV,37_LTW,2000,29_AII__HAS__2000____AND____9_RHA__HAS__2000____AND____62_WAB__HAS__2000____AND____100_SNZ__HAS__2000,2022-12-21 22:42:26.672599
TXN_42d694245c1cf643ef87644d66677543d98f0a51566d4f1e1e7d6eff19eb1b5f,138_OPP,27_ISA,2000,9_RHA__HAS__2000____AND____60_NKP__HAS__2000____AND____94_FWT__HAS__2000____AND____39_BQI__HAS__2000,2022-12-21 22:42:26.672836
TXN_43bca713dfba41ced49603e30297d24dc09a2799ef18973339b4054227ef5235,147_YUH,83_FYD,2000,80_LBQ__HAS__2000____AND____115_CXV__HAS__2000____AND____90_FKM__HAS__2000____AND____45_IQA__HAS__2000,2022-12-21 22:42:26.673076
TXN_765c1c2f92b25df3b0c72d62b1d392373f0ae3384508760abda81cc4f7e3ab82,18_ICF,117_GQK,2000,13_LMN__HAS__2000____AND____90_FKM__HAS__2000____AND____7_FPV__HAS__2000____AND____30_WIY__HAS__2000,2022-12-21 22:42:26.673313
TXN_ad0bacfb22192ca35fda694bed24088ae838fa715b6412695f1d06e7f68e330e,88_EUW,35_CVG,2000,110_QYL__HAS__2000____AND____83_FYD__HAS__2000____AND____41_HRJ__HAS__2000____AND____133_YMO__HAS__2000,2022-12-21 22:42:26.673548
TXN_32125271937d804f44a27891eeba8c9e0a80864cc48f1627cdc77d488a8f6371,135_WPM,146_LWF,2000,81_ORK__HAS__2000____AND____8_MGQ__HAS__2000____AND____14_KSP__HAS__2000____AND____138_OPP__HAS__2000,2022-12-21 22:42:26.673824
TXN_6ac28c1731b25cecbc67647c351f8ded3c79eac217dd8f5ca77ba5293a3d789f,78_GOV,141_DZB,2000,95_TJL__HAS__2000____AND____103_MKN__HAS__2000____AND____86_MBT__HAS__2000____AND____83_FYD__HAS__2000,2022-12-21 22:42:26.674274
TXN_ba2530a8abf0a21bc6dc4484fe97d15f4d1a232205966b29ac8d3e582923b60f,44_LDJ,24_KGT,2000,133_YMO__HAS__2000____AND____84_FXM__HAS__2000____AND____120_JFF__HAS__2000____AND____81_ORK__HAS__2000,2022-12-21 22:42:26.674561
TXN_f7547d3d4b3046883ad4ad2ffd3b85b34e86235c5c476b058c1fa4a02e7db6c4,105_QML,111_KSW,2000,140_NCR__HAS__2000____AND____111_KSW__HAS__2000____AND____91_ZRS__HAS__2000____AND____108_XPV__HAS__2000,2022-12-21 22:42:26.674820
TXN_8d12d42512adf5c3342eda108369302dd63c7e15590d09aca59b999d71bca435,0_QWE,94_FWT,2000,25_AWW__HAS__2000____AND____49_WBG__HAS__2000____AND____145_SGF__HAS__2000____AND____33_HXN__HAS__2000,2022-12-21 22:42:26.675070
TXN_bc9bccc3e39436ea1a0b284e98d7e2d4f1494e95e50e02febc38b71e6f60aac3,65_ZIF,71_KQI,2000,62_WAB__HAS__2000____AND____119_MPP__HAS__2000____AND____121_HPV__HAS__2000____AND____81_ORK__HAS__2000,2022-12-21 22:42:26.675359
TXN_f52ea579e29e2d01589e759b9dc375a1a7ee19ca75f4f4f3bd37b3af3a7e3dea,12_LHC,2_OBC,2000,80_LBQ__HAS__2000____AND____76_RPI__HAS__2000____AND____116_RGT__HAS__2000____AND____65_ZIF__HAS__2000,2022-12-21 22:42:26.675730
TXN_d77ed3fdbcf27d41dfeba73045a264696de0c48d9c05ad76b6eb06b07f3becc2,79_TKL,83_FYD,2000,22_RIQ__HAS__2000____AND____3_CBN__HAS__2000____AND____62_WAB__HAS__2000____AND____75_GNH__HAS__2000,2022-12-21 22:42:26.676019
TXN_29685f97409b193b873a60b1da8e1de34a1b9bb54fb57c0c893edee84177ee2f,71_KQI,135_WPM,2000,86_MBT__HAS__2000____AND____74_ZBF__HAS__2000____AND____102_AVF__HAS__2000____AND____0_QWE__HAS__2000,2022-12-21 22:42:26.676296
TXN_a5b68598736f65a4bb0dfeb0970d06979ad0b74c9f223b08e6c98cdfbe6811f4,102_AVF,106_TOB,2000,25_AWW__HAS__2000____AND____76_RPI__HAS__2000____AND____130_OHI__HAS__2000____AND____136_MGD__HAS__2000,2022-12-21 22:42:26.676559
TXN_456418c2690fb13536c86f947451d038cd22d41a44f1b88f455c145140d3b128,1_HGK,106_TOB,2000,19_GOC__HAS__2000____AND____136_MGD__HAS__2000____AND____91_ZRS__HAS__2000____AND____145_SGF__HAS__2000,2022-12-21 22:42:26.676821
TXN_23d3a95bcbcc492990da2fa092f8d5635e81763f722d85c9cc5392f85fbe5a51,77_WOW,69_DZY,2000,69_DZY__HAS__2000____AND____98_NHU__HAS__2000____AND____24_KGT__HAS__2000____AND____12_LHC__HAS__2000,2022-12-21 22:42:26.677073
TXN_d6e5d6e006bad141ba360c17f829b60f769fbaad37c9d6f9755de25d9a2484bb,61_ESH,86_MBT,2000,100_SNZ__HAS__2000____AND____98_NHU__HAS__2000____AND____125_HKM__HAS__2000____AND____91_ZRS__HAS__2000,2022-12-21 22:42:26.677320
TXN_a7124054b4a2d2bb32d616f759770cc8907f91d4f2bfd872466bb681157c7be3,121_HPV,12_LHC,2000,79_TKL__HAS__2000____AND____20_EHM__HAS__2000____AND____109_KKZ__HAS__2000____AND____73_OHW__HAS__2000,2022-12-21 22:42:26.677566
TXN_881e0353b92893453eba81f70c627fe28a4f0760d6dbf474ba2690d6a511a6e3,76_RPI,45_IQA,2000,28_SOB__HAS__2000____AND____64_SHK__HAS__2000____AND____44_LDJ__HAS__2000____AND____138_OPP__HAS__2000,2022-12-21 22:42:26.677812
TXN_129b896a57ebc8e4da4939869e751ade8ac021ec231374fac94ccf2815838504,51_SSP,48_PRN,2000,34_VJF__HAS__2000____AND____114_BZV__HAS__2000____AND____116_RGT__HAS__2000____AND____79_TKL__HAS__2000,2022-12-21 22:42:26.678059
TXN_1ad599742f8a378352eccb3f6e13c5feddaad78371d49cd48b6dfba4f609f823,30_WIY,9_RHA,2000,56_NJA__HAS__2000____AND____77_WOW__HAS__2000____AND____66_YAU__HAS__2000____AND____63_WHX__HAS__2000,2022-12-21 22:42:26.678307
TXN_0cce1d2ce70387c60a3d4296e9c128d0c3840f7606af0098c8bab34bfebd7794,128_HWK,137_UHO,2000,30_WIY__HAS__2000____AND____15_UKP__HAS__2000____AND____145_SGF__HAS__2000____AND____101_SWG__HAS__2000,2022-12-21 22:42:26.678552
TXN_6cce7126e8574675e3f207bfa1f250a8aa5d4141ded35c956c769838ea08b6be,49_WBG,51_SSP,2000,129_GDC__HAS__2000____AND____50_JRQ__HAS__2000____AND____84_FXM__HAS__2000____AND____138_OPP__HAS__2000,2022-12-21 22:42:26.678800
TXN_5d2cbe2aee18f9f416d6b858b8265ece2f09529d0d75c51fbb8041a0b35814fa,93_NVU,20_EHM,2000,74_ZBF__HAS__2000____AND____64_SHK__HAS__2000____AND____115_CXV__HAS__2000____AND____46_TKE__HAS__2000,2022-12-21 22:42:26.679044
TXN_57b59f57164e7562e48bc90846084250b0c2a324e00a536eb3706883e213af35,20_EHM,114_BZV,2000,47_QAO__HAS__2000____AND____92_OAA__HAS__2000____AND____17_OYT__HAS__2000____AND____83_FYD__HAS__2000,2022-12-21 22:42:26.679357
TXN_e12e5f73eb274097f3800256a4e9b0219ad1ef8e93be2f9946376932261ef9e7,94_FWT,48_PRN,2000,67_POK__HAS__2000____AND____78_GOV__HAS__2000____AND____72_BTC__HAS__2000____AND____33_HXN__HAS__2000,2022-12-21 22:42:26.679609
TXN_ae9f8221d45744c233c118c46667f8bd4e2435f3a85ca6f274a518a03a089324,16_IMW,5_SPP,2000,120_JFF__HAS__2000____AND____115_CXV__HAS__2000____AND____124_BRL__HAS__2000____AND____73_OHW__HAS__2000,2022-12-21 22:42:26.679883
TXN_c31578b158c6f9c11d74c663bc0331e3f8e9a061b828d24145e0063e9aa62d2f,89_FYG,145_SGF,2000,76_RPI__HAS__2000____AND____22_RIQ__HAS__2000____AND____64_SHK__HAS__2000____AND____53_ORI__HAS__2000,2022-12-21 22:42:26.680173
TXN_d5f44879cd774a978eca4a6d3bb983e0afef2ac2df9fa2206a4c39a2f8f2616c,60_NKP,8_MGQ,2000,92_OAA__HAS__2000____AND____78_GOV__HAS__2000____AND____51_SSP__HAS__2000____AND____113_RQM__HAS__2000,2022-12-21 22:42:26.680463
TXN_bab427035046457bf506d278e8c2935b3faf1a0390d56ba61c060d10d60b58cf,86_MBT,123_LOV,2000,58_QIB__HAS__2000____AND____144_KQW__HAS__2000____AND____82_LCS__HAS__2000____AND____32_DCL__HAS__2000,2022-12-21 22:42:26.680750
TXN_0b6439e6308b4ab5b5783b8c90312afd7e670ae7416a75ab2674ee494b26fe4e,139_LHM,3_CBN,2000,140_NCR__HAS__2000____AND____80_LBQ__HAS__2000____AND____11_GZG__HAS__2000____AND____97_RAJ__HAS__2000,2022-12-21 22:42:26.681047
TXN_0f2870c79aa18fab1191f8c5daeb5da4e903e8c4ae7d5db15abce8d4d69e31dd,51_SSP,122_MXT,2000,106_TOB__HAS__2000____AND____74_ZBF__HAS__2000____AND____50_JRQ__HAS__2000____AND____138_OPP__HAS__2000,2022-12-21 22:42:26.681324
TXN_cc00f606d22038f0906056137e0dcc70a672bac7d14e9355e627a4c0044a142d,98_NHU,144_KQW,2000,109_KKZ__HAS__2000____AND____132_MAD__HAS__2000____AND____10_BWT__HAS__2000____AND____52_HTU__HAS__2000,2022-12-21 22:42:26.681592
TXN_03f78f283fd64f2784654daed3d2965ce584733dee8795936e0bd7c33b768582,41_HRJ,6_NYZ,2000,92_OAA__HAS__2000____AND____27_ISA__HAS__2000____AND____39_BQI__HAS__2000____AND____7_FPV__HAS__2000,2022-12-21 22:42:26.681848
TXN_afde97ab7d45095a8a70a71ce298221790888c33fa771914fefe387710aec500,12_LHC,136_MGD,2000,13_LMN__HAS__2000____AND____101_SWG__HAS__2000____AND____126_LTW__HAS__2000____AND____51_SSP__HAS__2000,2022-12-21 22:42:26.682094
TXN_2c251269de0bccf0deb4a4dbbee15aeb33159c03c9a9b1089c21e4e4c4b7d617,108_XPV,31_VVQ,2000,98_NHU__HAS__2000____AND____17_OYT__HAS__2000____AND____129_GDC__HAS__2000____AND____30_WIY__HAS__2000,2022-12-21 22:42:26.682338
TXN_a71ea7c52b04994afe1125a56ab77f320db3782c97d785401100c73192b8c8e9,128_HWK,56_NJA,2000,31_VVQ__HAS__2000____AND____12_LHC__HAS__2000____AND____67_POK__HAS__2000____AND____133_YMO__HAS__2000,2022-12-21 22:42:26.682585
TXN_960a0e4e804e3d768cbb6035b13c9c2168326d32b9c18c4fe72ff533438d8df9,130_OHI,62_WAB,2000,93_NVU__HAS__2000____AND____25_AWW__HAS__2000____AND____106_TOB__HAS__2000____AND____91_ZRS__HAS__2000,2022-12-21 22:42:26.682831
TXN_4613656eaa0cd9bd8448b9a19e64979bb9ae27a7612eb64b2a2a35e436af1b22,95_TJL,56_NJA,2000,100_SNZ__HAS__2000____AND____23_HNT__HAS__2000____AND____127_ONO__HAS__2000____AND____55_DSF__HAS__2000,2022-12-21 22:42:26.683077
TXN_0024f31fec9098bd8e36b7ead19f20bea3202a4b3a427cbf518563d75e29c14b,106_TOB,101_SWG,2000,3_CBN__HAS__2000____AND____56_NJA__HAS__2000____AND____132_MAD__HAS__2000____AND____63_WHX__HAS__2000,2022-12-21 22:42:26.683324
TXN_3cc79c5b5e22408d69b8afc7306106fe894d6f1908765919cf979ed20b68501b,98_NHU,108_XPV,2000,145_SGF__HAS__2000____AND____6_NYZ__HAS__2000____AND____24_KGT__HAS__2000____AND____50_JRQ__HAS__2000,2022-12-21 22:42:26.683566
TXN_f973b571d3c3c782e8602e06a4144afafe293e188807e2bf767efa2f9b24cc1b,3_CBN,99_WTP,2000,142_FNA__HAS__2000____AND____95_TJL__HAS__2000____AND____112_XGI__HAS__2000____AND____22_RIQ__HAS__2000,2022-12-21 22:42:26.683812
TXN_66bd29e9019e0979db2aa8001e533156b8b05fac7b5ed7a54dbd2cc28effd5bd,48_PRN,72_BTC,2000,6_NYZ__HAS__2000____AND____21_QAZ__HAS__2000____AND____134_GIC__HAS__2000____AND____6_NYZ__HAS__2000,2022-12-21 22:42:26.684131
TXN_c72a586e86d9f83e76d97f129dbfa9ac2c2686bf93b61d7c3e400bab3522c720,75_GNH,118_HJG,2000,141_DZB__HAS__2000____AND____57_MKB__HAS__2000____AND____40_UMC__HAS__2000____AND____36_GAN__HAS__2000,2022-12-21 22:42:26.684381
TXN_1753e2b955870203515a0bf51301fb3fe2b55230b2555361926380ef4c3a3420,99_WTP,128_HWK,2000,143_JNJ__HAS__2000____AND____31_VVQ__HAS__2000____AND____33_HXN__HAS__2000____AND____18_ICF__HAS__2000,2022-12-21 22:42:26.684630
TXN_4ba1c9309b7cf14ae297bb3708dad5b45f010c102a42519c796d2dc272a33652,113_RQM,101_SWG,2000,78_GOV__HAS__2000____AND____82_LCS__HAS__2000____AND____98_NHU__HAS__2000____AND____15_UKP__HAS__2000,2022-12-21 22:42:26.684883
TXN_256beecebb9417760e2cb40be72810860ca7ffbe79f7a80f3bb77011617e1246,50_JRQ,47_QAO,2000,38_AYK__HAS__2000____AND____134_GIC__HAS__2000____AND____88_EUW__HAS__2000____AND____26_HAF__HAS__2000,2022-12-21 22:42:26.685127
TXN_0e5774f4df6ed83963772b34e8fe96684132c3397b5a3d3c31be0793175d75c3,56_NJA,6_NYZ,2000,32_DCL__HAS__2000____AND____22_RIQ__HAS__2000____AND____66_YAU__HAS__2000____AND____58_QIB__HAS__2000,2022-12-21 22:42:26.685373
